project_contract_address,dex,percentage
0x87d7fd8c446cb5d3da3ca23f429e7b7504d1931c,bnb_pancakeswap_2,11.6
0x07a7a6532eea525b58558606c87aeb2d9fe63f61,bnb_pancakeswap_2,11.6
0xd2e69b7fc21f0316fd90c40eff18d3be7e1a20e2,bnb_pancakeswap_2,11.6
0x5c80860f8e48d0e32b21d280043dd7b08a1061fb,bnb_pancakeswap_2,11.6
0xa8a00390645a5821a381b8cf0603f740dd6ff6d0,bnb_pancakeswap_2,11.6
0x5f80dab8ec6e7d77f7fd88fdb98fb16c80f2ca2e,bnb_pancakeswap_2,11.6
0x8ddb66359a81b703aa24042b614a9513a5f099ed,bnb_pancakeswap_2,11.6
0xd51a0ef6888cd9734204bf2296462d5781440ed0,bnb_pancakeswap_2,11.6
0x1c90e8a9cc76297a2427f6831e6c6b20c5a5386b,bnb_pancakeswap_2,11.6
0x58bf4f8cdaafb4b394ee8266e2c3fe420cf16b71,bnb_pancakeswap_2,11.6
0xb72723e36a83fb5fe1793f06b436f4720f5de4f9,bnb_pancakeswap_2,11.6
0x7500e0634a2d7da9963bb2bb1150abc110cdc4e1,bnb_pancakeswap_2,11.6
0x2d515b3a46a6f19957af7b448132f43f95dcad40,bnb_pancakeswap_2,11.6
0x465addfc50bf477f2b6c704279cd11e110d36bb6,bnb_pancakeswap_2,11.6
0x52f7d5ea4bbefd03d969be5dfd4d12cb05c51220,bnb_pancakeswap_2,11.6
0x3d666bead7e106879d299142f52701544dd70f2d,bnb_pancakeswap_2,11.6
0x5a5fd4dbf70747e684f43b43ab53d4b0c733293d,bnb_pancakeswap_2,11.6
0xf0c127d0dc998ac17141e1793134c9a1ba767699,bnb_pancakeswap_2,11.6
0xb01acbb7230f2201e033bc82ba789f54758df2af,bnb_pancakeswap_2,11.6
0x741c5c0001111a8fcf7de66012d16477e07389c3,bnb_pancakeswap_2,11.6
0x5db75ed81fe90c6bba90c6d07888cc66a3a304c0,bnb_pancakeswap_2,11.6
0x6df9adc1837bf37e0b1b943d59a7e50d9678c81b,bnb_pancakeswap_2,11.6
0xa2e6b0f1e795f9b3e87aa2bdcfcda0f4a41746c8,bnb_pancakeswap_2,11.6
0x8665a78ccc84d6df2acaa4b207d88c6bc9b70ec5,bnb_pancakeswap_2,11.6
0x0446a8892c1d38890ac8b36e42914eb93bd6076f,bnb_pancakeswap_2,11.6
0x9eb0bc7a207f77811ee365729d00152622a745b7,bnb_pancakeswap_2,11.6
0x73609708d493fa1761f2fed5b07f55de7f84b317,bnb_pancakeswap_2,11.6
0x338ea735b5e2c2b808e84091ed27937f882efcbc,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0xbac46a1e83c9ff163e26b6dc90987a3dc3d56d69,bnb_pancakeswap_2,11.6
0x0ec12db33551afba853b691b4edf49196ea0e99a,bnb_pancakeswap_2,11.6
0x4dce12240b37879610601eb70685d396faf06417,bnb_pancakeswap_2,11.6
0xd32041a219835ed79c1ffd7f43df68d06b9b13d5,bnb_pancakeswap_2,11.6
0x1f1e7f11e0892392f9f3d450fdbdd4299ed3efd3,bnb_pancakeswap_2,11.6
0x8665a78ccc84d6df2acaa4b207d88c6bc9b70ec5,bnb_pancakeswap_2,11.6
0xbecde8e5b48b65e18d8c19e40b026357ca8deb6d,bnb_pancakeswap_2,11.6
0xc13aa76aac067c86ae38028019f414d731b3d86a,bnb_pancakeswap_2,11.6
0x0ec12db33551afba853b691b4edf49196ea0e99a,bnb_pancakeswap_2,11.6
0x3de9bc265b9543e067597bfd997e11d43a734bf5,bnb_pancakeswap_2,11.6
0x287ad27eb5f600130980bf8659c2aaeec0dda822,bnb_pancakeswap_2,11.6
0xa8a00390645a5821a381b8cf0603f740dd6ff6d0,bnb_pancakeswap_2,11.6
0x7b450e7dc6a657c6025bed1f5b6e13f0ead4ff31,bnb_pancakeswap_2,11.6
0xe24b314097ab6f8b7d7a34dbc79b275faee3510f,bnb_pancakeswap_2,11.6
0xa0f98321f02e90e13d04b08c1b9f3252dde15fd3,bnb_pancakeswap_2,11.6
0x41ce7724435b9732aa49f713f6117b42e178a3e8,bnb_pancakeswap_2,11.6
0x334acebc47f01b37d4afd8f3d60b225b633db3c0,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0x754d9bebb2b22bb4672330d3dcb892586bd4f82b,bnb_pancakeswap_2,11.6
0x7b450e7dc6a657c6025bed1f5b6e13f0ead4ff31,bnb_pancakeswap_2,11.6
0x8665a78ccc84d6df2acaa4b207d88c6bc9b70ec5,bnb_pancakeswap_2,11.6
0x309391a889a2bf2425f61726ed5799fe0c1dd024,bnb_pancakeswap_2,11.6
0x5190782158e92ba32ba9d84956f18dd70039453e,bnb_pancakeswap_2,11.6
0x3242d6dfa4481ac082b2c96ea99de4f97925d2b3,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0xf5f33c69b4130864d22f10477327e33a26e1090d,bnb_pancakeswap_2,11.6
0x991f7be5278fd8c353d62e22743e4ca0b815ec8d,bnb_pancakeswap_2,11.6
0xa659e43b2b9e3ea5260942e5d46abdf14910618d,bnb_pancakeswap_2,11.6
0xa0ee789a8f581cb92dd9742ed0b5d54a0916976c,bnb_pancakeswap_2,11.6
0x6285d26cab2b993ae5a3bbed465199dc9d1ad745,bnb_pancakeswap_2,11.6
0x15960ba3504fdd70230cb0e62ebec80846ae9fad,bnb_pancakeswap_2,11.6
0x2c594e8e97a90660d82369a1947a3f980c4e2320,bnb_pancakeswap_2,11.6
0x33b8c19ad1de4133407a3eaf5f2990da6830b4a7,bnb_pancakeswap_2,11.6
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,bnb_pancakeswap_2,11.6
0x5a5fd4dbf70747e684f43b43ab53d4b0c733293d,bnb_pancakeswap_2,11.6
0x0ec12db33551afba853b691b4edf49196ea0e99a,bnb_pancakeswap_2,11.6
0x0e537bb44eb6064d12326ff2543d918e9b9a5482,bnb_pancakeswap_2,11.6
0xf9b4ede9841e106c70c98c4d2bfa4c4fb2d364ee,base_uniswap_3,9.2
0xaec085e5a5ce8d96a7bdd3eb3a62445d4f6ce703,base_uniswap_3,9.2
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,base_uniswap_3,9.2
0x5b7232e74241a45540bd844d01cfc2ddad9cfd1b,base_uniswap_3,9.2
0x59b873b7af67dcdd0d58d7b9066fcc519ba24468,base_uniswap_3,9.2
0x75fb62aa7d072a6a96692b207278a760e5df42cc,base_uniswap_3,9.2
0xd0b53d9277642d899df5c87a3966a349a798f224,base_uniswap_3,9.2
0x76c0106bba123e9b32770b2b34b6d13bf4cfa933,base_uniswap_3,9.2
0xab28184af1432e6bb68c070fde7e1b84c9871f57,base_uniswap_3,9.2
0x003c957007f98ceeb33031700835f011c96efd4c,base_uniswap_3,9.2
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,base_uniswap_3,9.2
0xc818437fec05b9bb25742d619287b86a8056fec8,base_uniswap_3,9.2
0x42598507719c2f95775b0563088ee844c27dc671,base_uniswap_3,9.2
0x9731fac4a2bc0a923ad789458fac9c63599db33b,base_uniswap_3,9.2
0x5cc4a43f2681a03d9187f3ad6934c748a86d6119,base_uniswap_3,9.2
0x67a11022b7b6ed66f81233f6c8ed6e48f7826530,base_uniswap_3,9.2
0xd0b53d9277642d899df5c87a3966a349a798f224,base_uniswap_3,9.2
0xa4ae8a38a6414f3bf14b1ecfc9893035d1dd379f,base_uniswap_3,9.2
0x62c62d8a0f4d5162b919e7fa9a066684f5122a8c,base_uniswap_3,9.2
0xeaf83072a3c0c160626859bea32df5cd1c256656,base_uniswap_3,9.2
0x692a1ff8823f5edc52b72b823faba5df1e3f23c0,base_uniswap_3,9.2
0xe5b5f522e98b5a2baae212d4da66b865b781db97,base_uniswap_3,9.2
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,base_uniswap_3,9.2
0x0ea13439f0818bd0598c002d9337374a78d5fe47,base_uniswap_3,9.2
0x6603a9cb111199f5bf155e4ce7b9903858dad5d9,base_uniswap_3,9.2
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,base_uniswap_3,9.2
0x5f4a6ae7c035a1c8fbe1148216c666641adbc681,base_uniswap_3,9.2
0x269bda0512de57cd0be0270686ffb3964c05e19b,base_uniswap_3,9.2
0x062d9afe7d0c0cbc1806b8c035ee6a08268362f2,base_uniswap_3,9.2
0x4425dc15607fd22b92935a4736d8f4c5ab54887a,base_uniswap_3,9.2
0xc1a6fbedae68e1472dbb91fe29b51f7a0bd44f97,base_uniswap_3,9.2
0xcb4aaa0b65c143b67021549de5dee6f0c8421966,base_uniswap_3,9.2
0x5cc4a43f2681a03d9187f3ad6934c748a86d6119,base_uniswap_3,9.2
0xb8371616896e5953f7425d71c047cd3df738c379,base_uniswap_3,9.2
0x021235b92a4f52c789f43a1b01453c237c265861,base_uniswap_3,9.2
0xd56da2b74ba826f19015e6b7dd9dae1903e85da1,base_uniswap_3,9.2
0xc58fecb0c0f0d5b40b5bdac3cca989e8a49f732f,base_uniswap_3,9.2
0x5cc4a43f2681a03d9187f3ad6934c748a86d6119,base_uniswap_3,9.2
0xadb07748b855204dcfc2524ab7ba7e3a6661498a,base_uniswap_3,9.2
0x39c58902dc7a4c1b626cd203c0fd1be4603b66f4,base_uniswap_3,9.2
0x589318803b668dce86731df66395331df14a4d45,base_uniswap_3,9.2
0x5cc4a43f2681a03d9187f3ad6934c748a86d6119,base_uniswap_3,9.2
0x2312643d266817edc7a6d830887f91a09246581a,base_uniswap_3,9.2
0x16f9a294469b6a7b2e662d59a8ed0b44accb5684,base_uniswap_3,9.2
0x5a76b46c803f3af7c182b3ffe44175f4b1b286de,base_uniswap_3,9.2
0x9e58257a4e839eaf82540f57abc985f079ed71c2,base_uniswap_3,9.2
0x44fea86e09609f573d579c7114f8675b2ac656db,base_uniswap_3,9.2
0xa2e17c7481c7ebd22ca0db744fb8bdf0e3e1d92a,base_uniswap_3,9.2
0xd140fc976bc2bfa158e9ab737084dd5a786318a0,base_uniswap_3,9.2
0x91fb83b9cff82db9a8fdb2eaad94e84a578f793d,base_uniswap_3,9.2
0xd0b53d9277642d899df5c87a3966a349a798f224,base_uniswap_3,9.2
0xd0b53d9277642d899df5c87a3966a349a798f224,base_uniswap_3,9.2
0x5cc4a43f2681a03d9187f3ad6934c748a86d6119,base_uniswap_3,9.2
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,base_uniswap_3,9.2
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,base_uniswap_3,9.2
0x269bda0512de57cd0be0270686ffb3964c05e19b,base_uniswap_3,9.2
0x51bc3d86583652d2ba5b788341bf64a8a43c1fc3,base_uniswap_3,9.2
0xda8bd128e3cfacf05d0a4c292eb3053a84d36e88,base_uniswap_3,9.2
0x3d5d143381916280ff91407febeb52f2b60f33cf,base_uniswap_3,9.2
0x67a11022b7b6ed66f81233f6c8ed6e48f7826530,base_uniswap_3,9.2
0x988670f78e4f9926464a68cf1dd13b62719bf4ee,base_uniswap_3,9.2
0xcdabcc7c720f52106a20fb60d83b96ec3bad05d6,base_uniswap_3,9.2
0x7a5cd8bd33de551826fed92d25e3df88a491366a,base_uniswap_3,9.2
0x1c2a8882eab99ce814f8a9aab983d2b609a119bb,base_uniswap_3,9.2
0x50886f5178eb2f7c6d0dbf17b3b0ee5684a84045,base_uniswap_3,9.2
0x0637149bd73a2719c171f03b7d53c6eaaaca4fd5,base_uniswap_3,9.2
0x988670f78e4f9926464a68cf1dd13b62719bf4ee,base_uniswap_3,9.2
0x3c7e39b6286ff8819035325ed9f48352856827e4,base_uniswap_3,9.2
0xb5a2a0de7753698d0d3c8c37a0e74fee440a6091,base_uniswap_3,9.2
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,base_uniswap_3,9.2
0xa9ea40cf1652a48dbbcdf5e9da2ded3a4ff63dd3,base_uniswap_3,9.2
0xd639e370a943ffb882f6d392d74b4e20b7a7481c,base_uniswap_3,9.2
0xd0b53d9277642d899df5c87a3966a349a798f224,base_uniswap_3,9.2
0x3c7e39b6286ff8819035325ed9f48352856827e4,base_uniswap_3,9.2
0xf0b720732b8f3415561e967c356c2fb81b309e1e,base_uniswap_2,8.9
0x0d0e018838a11955b2bbccc4ac1f696e3bc9ffd7,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0xd33805985642fa9338e1fa150ca811406f96f0de,base_uniswap_2,8.9
0xb826ae4fd2af01367dab1eb667fd7c57583c2d61,base_uniswap_2,8.9
0xc1a6d4ccb0e913c7f785fcc60811b34bc8cc801c,base_uniswap_2,8.9
0xc706d9349e244242991bcdf12ccd880b9b89fa69,base_uniswap_2,8.9
0xe3c1fd4b6a7b0e527f6c53ab21111f4120b616cd,base_uniswap_2,8.9
0x2b4a93fd675a4f7f6a50e36ed176e83801e737fa,base_uniswap_2,8.9
0x1831507bc2e1bbf8f3c3507bdf61267fe3ecbb37,base_uniswap_2,8.9
0x007bf06613ee6e58ac59aa070dcde4db89f49fb7,base_uniswap_2,8.9
0xd91654dd9ae63d74e2446afb7cd4411ecc1b02e2,base_uniswap_2,8.9
0x572ec0474a6e52eae4638965ed0592d59ec70ead,base_uniswap_2,8.9
0xcdc5017a9d6d53aa58b14fc867db897aa3bb0f24,base_uniswap_2,8.9
0x17a3ad8c74c4947005afeda9965305ae2eb2518a,base_uniswap_2,8.9
0x95949879cac11b82c0de0334a8b9e40a969c40b6,base_uniswap_2,8.9
0x0d5aa5c1575554164bd1f6329c6db4a12f6b2e71,base_uniswap_2,8.9
0x35c6a202f5f718cd9225b8ead067126c8542a32a,base_uniswap_2,8.9
0xedc6eb8333d4a910448f91768d444d9826e8c955,base_uniswap_2,8.9
0x4fe4a5f570b046e3704acd72fef6c508a310d3aa,base_uniswap_2,8.9
0xaf2271b9dfa61363abac887ff65da2416dd30619,base_uniswap_2,8.9
0x5f220da641f1d32cd175151e7d967254574043cf,base_uniswap_2,8.9
0x4e2a95f2104d0db8dd35ba10b03643d605dbb7ae,base_uniswap_2,8.9
0x71679212e2b3704f376ad8774875d1a73e71d146,base_uniswap_2,8.9
0x368ea6f645deb6d1a8692fe93c550d2834150865,base_uniswap_2,8.9
0x7ff277cb83ca0cafed8008bbde1cb8101f49a4dd,base_uniswap_2,8.9
0xef9928c638f44b864d55cd894244d0ed1cfb3b0f,base_uniswap_2,8.9
0x53c39057832916a715530688aef8138b826c59f9,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0x870f9783501f79f66eecb19fa97f4babf630b2a3,base_uniswap_2,8.9
0x9453a6c518765141522345b607c76ee0c7467c91,base_uniswap_2,8.9
0xb494ea4174a4492f1e30d65cc845101711cd85c3,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0x7464850cc1cfb54a2223229b77b1bca2f888d946,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0xb8ec0f6c3534531d18e4cdaf11e3d5abbcae6bc9,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0xf19c00314af9ad20acb28ba8249a8a286468f8b9,base_uniswap_2,8.9
0xe31c372a7af875b3b5e0f3713b17ef51556da667,base_uniswap_2,8.9
0xeb98f38e42d8e1dc2a665878323b6b75f623f690,base_uniswap_2,8.9
0xb48ab73cd14d7f37078fee2a95f75c8d06e66c97,base_uniswap_2,8.9
0x13dd03e750fe31683bcd57d88ba665e74c778b13,base_uniswap_2,8.9
0x32e44e3e043db5bb2590410a99552fe839c643d7,base_uniswap_2,8.9
0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,base_uniswap_2,8.9
0x0998d7dae46ba2f1bd69c8af058a3a555c57354b,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0x7d1817c407abde66bd1b0071b235842983ad64c0,base_uniswap_2,8.9
0xabbd127b86d9d1840aa3825ad39e78c0584d5e80,base_uniswap_2,8.9
0xd91654dd9ae63d74e2446afb7cd4411ecc1b02e2,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0x0998d7dae46ba2f1bd69c8af058a3a555c57354b,base_uniswap_2,8.9
0xb915378717d133d7e0f75d4348dafbca30df67d8,base_uniswap_2,8.9
0xaded599356b756b64b90dcbf68d6a062b2934060,base_uniswap_2,8.9
0xd91654dd9ae63d74e2446afb7cd4411ecc1b02e2,base_uniswap_2,8.9
0xbd211546c6e7d885c2b0d78a97e1beff665f487a,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0xe31c372a7af875b3b5e0f3713b17ef51556da667,base_uniswap_2,8.9
0x7dc3662f4c2c41c5752652e8b417a9024c2b1f63,base_uniswap_2,8.9
0xc4cfb67ee594443d9368dd37f3cdd1ecf717d3fa,base_uniswap_2,8.9
0x4534ef8df3fd112f64506b5135b125a6f2cd9e60,base_uniswap_2,8.9
0xaf2271b9dfa61363abac887ff65da2416dd30619,base_uniswap_2,8.9
0x8feb65c60b84eef9486a44f67f791175da154af3,base_uniswap_2,8.9
0x0e4b82e8b3c06079a69062db65f272ecb3e62682,base_uniswap_2,8.9
0x6f03f0ec5433f925754dce9bbe7c2f7016e811a6,base_uniswap_2,8.9
0x83f2db1557881ff602fe8c30480572c2c226a58c,base_uniswap_2,8.9
0xad2831d986a39e881abaac8c308e7c99ef248e96,base_uniswap_2,8.9
0x2d99a5fb6fe611d00b8c897c8d1d1fcb62218f3c,base_uniswap_2,8.9
0xaa7089410cd69d9584ee5a72dc94a7bf75d530e0,base_uniswap_2,8.9
0x368b79d3053e581c76547568b930cd74e08bf6d9,base_uniswap_2,8.9
0x83c632ff782d87d49fc7207042d70ee34c525f90,base_uniswap_2,8.9
0x985e4a61aeb386d5286ec46571472c0635c5dadd,base_uniswap_2,8.9
0x01205128a5e35babc55ba56bb5695db7b97c74e5,base_uniswap_2,8.9
0x51b8f730f8bf77236e6040cc503a560b3c52e12c,base_uniswap_2,8.9
0x9a5d70078c361f4e1340e445251f3d521e5a59a2,base_uniswap_2,8.9
0xa0f0cae1b742d91d1ce514d59025edb8d4abb44f,base_uniswap_2,8.9
0xbedf282c8d3da33c26f0e048808eb525744a703d,base_uniswap_2,8.9
0xdb7a2d387f33d2af138654403a773b085f41cb5e,base_uniswap_2,8.9
0x9455a69ea98229a75fdc59a06568371bccf535a7,base_uniswap_2,8.9
0x51b8f730f8bf77236e6040cc503a560b3c52e12c,base_uniswap_2,8.9
0x46d3e41f5bf21b34335ff2485586cf3379e340d2,base_uniswap_2,8.9
0xa46d5090499efb9c5dd7d95f7ca69f996b9fb761,base_uniswap_2,8.9
0x4072eae1e5acd2a207060afb6f0f095172813671,base_uniswap_2,8.9
0x97cda13d2ae62592ca349871c48a2322cad8da0b,base_uniswap_2,8.9
0xc0bac29e7b55b3253a3d63ef4f6961b30c8e535d,bnb_pancakeswap_3,7.7
0xe97a32680217f25498e4431de3aa79e39ac210c1,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x90a54475d512b8f3852351611c38fad30a513491,bnb_pancakeswap_3,7.7
0x21731bd208d2d074d9e279175185799284745528,bnb_pancakeswap_3,7.7
0x0dca2198d75127d387a4851a1b08c1b34b4c2acc,bnb_pancakeswap_3,7.7
0xc322439592f9729fe956cb019b0d7bce9a72589e,bnb_pancakeswap_3,7.7
0x3014acc57dde05b90cc2d57af65e8ba61482ec04,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x7f51c8aaa6b0599abd16674e2b17fec7a9f674a1,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0xf28c6e077648f5af35969eddaf146c4dc87179ae,bnb_pancakeswap_3,7.7
0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,bnb_pancakeswap_3,7.7
0x86822663969b21ce8b3fc37ebf6eed265dc11d18,bnb_pancakeswap_3,7.7
0x8e76a42daa206fa114884cc68f82f225e210e5b8,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x8b529415803587024440c409d1405744b6058da0,bnb_pancakeswap_3,7.7
0x6abe9fe208ff4b9850361654eb80541f8b12262a,bnb_pancakeswap_3,7.7
0x22536030b9ce783b6ddfb9a39ac7f439f568e5e6,bnb_pancakeswap_3,7.7
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb_pancakeswap_3,7.7
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb_pancakeswap_3,7.7
0xe3cbe4dd1bd2f7101f17d586f44bab944091d383,bnb_pancakeswap_3,7.7
0xbffec96e8f3b5058b1817c14e4380758fada01ef,bnb_pancakeswap_3,7.7
0x50a9663b08a33eddd9a642590f5cb8fb4079b8f8,bnb_pancakeswap_3,7.7
0xa322b156b138deaa6b5df1f76154ee019f33db25,bnb_pancakeswap_3,7.7
0xf39978924d07710c741413a31ff89c7fcf2bdcc6,bnb_pancakeswap_3,7.7
0x19c3e84a67c67998fa0e85a2ee4db77e0ea8dfb7,bnb_pancakeswap_3,7.7
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb_pancakeswap_3,7.7
0xcc82e9b425386fa958900083e8c5fecce1bd228f,bnb_pancakeswap_3,7.7
0x3bd9adc3803b34952dcda4998ed60d519df836c5,bnb_pancakeswap_3,7.7
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb_pancakeswap_3,7.7
0xe2522229e6e30388b3cb2493e8462c27831e247e,bnb_pancakeswap_3,7.7
0x80968a476e0235a026fd1f33aaac5a3b7b76110f,bnb_pancakeswap_3,7.7
0x71d8d5a672aa25e51f2e3a380348cffbbf928782,bnb_pancakeswap_3,7.7
0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b,bnb_pancakeswap_3,7.7
0x70ee03d5d02c16a2ddac4c0b3378ee37f79f1c48,bnb_pancakeswap_3,7.7
0xb31eb275c3e542f88b4723d27e2e931dd191f5ca,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x4f3126d5de26413abdcf6948943fb9d0847d9818,bnb_pancakeswap_3,7.7
0xafb2da14056725e3ba3a30dd846b6bbbd7886c56,bnb_pancakeswap_3,7.7
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb_pancakeswap_3,7.7
0x2bfd7b1f1481ecb6610fa6223726518fa0da99f1,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x79a5c0046bb8b2f835b78e38082f0b73c6e5733e,bnb_pancakeswap_3,7.7
0x7756d3dd6d559cb7cea5b8a87fb7b40342325e52,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0x1d519280255d5d90f469f79dc8f5abe05f64429f,bnb_pancakeswap_3,7.7
0x0af945f2688b81475565078ba63bb524d9f270f3,bnb_pancakeswap_3,7.7
0x74d0b9c9360649c06dc5389172a6235c1341db8b,bnb_pancakeswap_3,7.7
0xb187e425f60e973a7c083a497536db249c2d7b18,bnb_pancakeswap_3,7.7
0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,bnb_pancakeswap_3,7.7
0x172fcd41e0913e95784454622d1c3724f546f849,bnb_pancakeswap_3,7.7
0xdb25c09d96c165b62f6e6f9d9b17174738d897ba,bnb_pancakeswap_3,7.7
0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4,bnb_pancakeswap_3,7.7
0x62fcb3c1794fb95bd8b1a97f6ad5d8a7e4943a1e,bnb_pancakeswap_3,7.7
0x85faac652b707fdf6907ef726751087f9e0b6687,bnb_pancakeswap_3,7.7
